iter	RMSE
0	0.8608696535
1	0.8463210826
2	0.8332095423
3	0.8225523719
4	0.8135077191
5	0.805203433666	0.7983042727	0.7995513135
8	0.7943440619
9	9	0.781962621010	0.77756693
11	0.7806750296
12	0.7776215988
13	0.7745808036
14	0.7653970841
15	0.7692941918
16	0.7674364114
17	0.765360797218	0.7560895975
19	0.7544794793
20	0.7530659891
21	0.7610830888
22	0.7501208645
23	0.7486769825
24	0.7475140458
25	0.746632787
26	0.7455309767
27	0.7442875329
28	0.743268273
2929	0.7515990433030	0.7506084253
31	0.7467782443
32	0.746017342
33	0.7452502389334	0.7445940775335	0.744130895
36	0.743451821373737	0.7451261383838	0.7445336194
39	0.74358140	0.40	0.7428861393
41	0.7421313586
42	0.74162243	0.732194518
44	0.744	0.7409645	45	45	0.7404446	46	46	0.7398347	47	47	0.7393248	448	0.738932449	049	0.7385478122
50	0.738168651	0.7279547112
52	0.7276511657
53	0.7271018009
54	0.7267010009
55	0.7264625841
56	0.7304501806
57	0.7302142664
58	0.7299497723
59	0.7254138603
60	0.7248914968
61	0.7245491789
62	0.728247767
63	0.7278641553
664	0.7235118507
65	0.7228634602
66	0.7227373393
67	0.7225270705
68	0.7222752439
69	0.7219059271
70	0.7217881486
71	0.7217573149
72	0.7213396218
73	0.7210477912
74	0.7208379566
75	0.7206754534
76	0.7204789133
77	0.7203077027
78	0.7201156262
79	0.7199506925
80	0.7196473383
81	0.7194585021
82	0.7190803791
83	0.7187776284
84	0.7185863099
85	0.7183925
86	0.7182086535
87	0.7180832164
88	0.7179518748
89	0.7175019199
90	0.7173721106
91	0.7172567651
92	0.7168131103
93	0.7166910069
94	0.716492359
95	0.7164121516
96	0.7160387099
97	0.715896572
98	0.7157546774
99	0.7154582702
100	0.7150829215
101	0.7148434308
102	0.7145605826
103	0.7144293576
104	0.7142072009
105	0.7138886238
106	0.7137354586
107	0.7133880068
108	0.7130767867
109	0.7127849839
110	0.7125687639
111	0.7122249381
112	0.7120762749
113	0.7118655813
114	0.711757244
115	0.7115413008
116	0.7114871411
117	0.7112323938
118	0.7109571564
119	0.7108783924
120	0.710635514
121	0.7103343745
122	0.7102048399
123	0.7099302814
124	0.7095484349
125	0.7093956423
126	0.7093762643
127	0.7093214623
128	0.7090272843
129	0.7088118417
130	0.7086581329
131	0.7085241283
132	0.708477405
133	0.7082328943
134	0.7080300567
135	0.7078990617
136	0.7076303839
137	0.7075891796
138	0.7072266509
139	0.7072145421
140	0.7070187249
141	0.7068962979
142	0.7068212719
143	0.7066459219
144	0.7063494282
145	0.7060180111
146	0.7056588338
147	0.7055054945
148	0.70528792
149	0.7051240509
150	0.7050345447
151	0.704640862
152	0.7043781429
153	0.7042075847
154	0.7041446852
155	0.7039534036
156	0.7037321629
157	0.7035622044
158	0.7034239157
159	0.7033405454
160	0.7031312778
161	0.7029097005
162	0.7028548476
163	0.7027028239
164	0.7025888657
165	0.7023480848
166	0.702298817
167	0.7021685323
168	0.7018643259
169	0.7015977432
170	0.7014557307
171	0.7014133035
172	0.7012806421
173	0.7009807101
174	0.7008738212
175	0.700792644
176	0.7005066497
177	0.7004660588
178	0.7003625805
179	0.7003130599
180	0.7000695178
181	0.6998874388
182	0.6998498153
183	0.699608794
184	0.6995398388
185	0.6994899134
186	0.699199715
187	0.6991587748
188	0.6989318475
189	0.6985882881
190	0.6983804249
191	0.6983468639
192	0.6982135818
193	0.6981040289
194	0.698029647
195	0.6977797915
196	0.6976184963
197	0.6974786946
198	0.6972902234
199	0.6970803938
200	0.6970498701
201	0.6969074598
202	0.6967526341
203	0.6965217941
204	0.6964336757
205	0.6962643878
206	0.6961781442
207	0.6961561503
208	0.6961080245
209	0.6958276758
210	0.6956503582
211	0.695416337
212	0.6953378795
213	0.6950769162
214	0.6948071262
215	0.6946511974
216	0.6944725708
217	0.6944183555
218	0.6941610771
219	0.6939246332
220	0.6937563177
221	0.6937178166
222	0.6936527083
223	0.6933695717
224	0.6933492638
225	0.6932040258
226	0.6929514381
227	0.6929047499
228	0.6927149671
229	0.6926125045
230	0.6924581501
231	0.6922308393
232	0.6919831066
233	0.6917493962
234	0.6915060553
235	0.6912659517
236	0.6911157943
237	0.6910526599
238	0.6909706254
239	0.6907984233
240	0.6905815106
241	0.6904233699
242	0.6903399703
243	0.6903145601
244	0.6901459659
245	0.6901141616
246	0.6900276564
247	0.6898999811
248	0.6896823344
249	0.6895407926
250	0.6893375233
251	0.6891436962
252	0.6889691533
253	0.6888500818
254	0.6886331886
255	0.6885132229
256	0.6882678445
257	0.688132188
258	0.6878957507
259	0.6876825125
260	0.6876119845
261	0.6874069898
262	0.68722608
263	0.6870717554
264	0.6868591317
265	0.6867200965
266	0.6866987438
267	0.6866356531
268	0.6864598342
269	0.6863342841
270	0.6861665367
271	0.6861009863
272	0.6859100382
273	0.6858387497
274	0.6857062462
275	0.6856098436
276	0.685527244
277	0.6853550348
278	0.6852123349
279	0.685034253
280	0.6848397376
281	0.684699079
282	0.6845343861
283	0.6843768219
284	0.6842511736
285	0.6841030365
286	0.6839180598
287	0.683791345
288	0.6836595954
289	0.6836576675
290	0.6835150226
291	0.683358259
292	0.6832006778
293	0.6831601082
294	0.6830435742
295	0.6829209079
296	0.682782844
297	0.6826100845
298	0.682579039
299	0.6823963737
300	0.6822399519
301	0.6820644773
302	0.6820148988
303	0.6819736324
304	0.6818116445
305	0.6817085035
306	0.6815831474
307	0.6814412296
308	0.681218749
309	0.6810243803
310	0.6809182351
311	0.680717587
312	0.6804795723
313	0.6803968767
314	0.6803679759
315	0.6802280293
316	0.6801407508
317	0.6800252565
318	0.6798755789
319	0.6797170288
320	0.679536883
321	0.6793992505
322	0.6792900788
323	0.6791536988
324	0.6790178502
325	0.6789680319
326	0.678801751
327	0.6787072872
328	0.6786375462
329	0.6785925842
330	0.6784725341
331	0.6784071667
332	0.6782491826
333	0.6781782163
334	0.6781637275
335	0.6779959768
336	0.6779048204
337	0.6778524814
338	0.6777857796
339	0.6777340186
340	0.6776536156
341	0.6775145731
342	0.6773465863
343	0.6772508533
344	0.6771655543
345	0.6770390995
346	0.6769037348
347	0.6768844263
348	0.6767834162
349	0.6766408474
350	0.6764781037
351	0.6762873848
352	0.6762327503
353	0.6761402545
354	0.6760460114
355	0.67595924
356	0.6758115816
357	0.6757959212
358	0.6756318088
359	0.675519598
360	0.6754002598
361	0.6753277644
362	0.6752300034
363	0.6751307117
364	0.6750355899
365	0.6747597039
366	0.6746624973
367	0.6745238688
368	0.6744316402
369	0.6742819942
370	0.6741688478
371	0.6740691644
372	0.6739052707
373	0.6736598172
374	0.6736322746
375	0.6734980647
376	0.6733871008
377	0.6732575185
378	0.6731572257
379	0.6730472001
380	0.6730062876
381	0.6729680342
382	0.6728642525
383	0.6728300701
384	0.6726146992
385	0.6725514706
386	0.6725077266
387	0.6723942622
388	0.672317208
389	0.6721862943
390	0.6719833319
391	0.6718784131
392	0.6717112994
393	0.6715405967
394	0.6714408716
395	0.6712430974
396	0.6711369738
397	0.6710193229
398	0.6709405075
399	0.670783468
400	0.6706638923
401	0.6705333907
402	0.670410435
403	0.6703257039
404	0.6701089824
405	0.6700395417
406	0.6699222663
407	0.6697511917
408	0.6695743084
409	0.6694372067
410	0.6693515059
411	0.6692726652
412	0.6691818568
413	0.6690507466
414	0.6689990637
415	0.6689645097
416	0.6688992128
417	0.6687412452
418	0.6685712422
419	0.6684130949
420	0.668344121
421	0.6681688514
422	0.6681012857
423	0.6680510798
424	0.6679764516
425	0.6678675396
426	0.6677377741
427	0.6674780873
428	0.6673005042
429	0.6671983425
430	0.6670707814
431	0.6669451869
432	0.6668609907
433	0.6666761782
434	0.6666527032
435	0.666503266
436	0.6663591402
437	0.6662725157
438	0.6662093026
439	0.6661549788
440	0.6660729347
441	0.6659861222
442	0.6658618237
443	0.6657739054
444	0.6656839703
445	0.6656599453
446	0.6655664226
447	0.665531419
448	0.6654640514
449	0.6654112209
450	0.6653374844
451	0.6652164399
452	0.6650949719
453	0.6649687964
454	0.6648884818
455	0.6648080259
456	0.6647167591
457	0.6645784218
458	0.6645116402
459	0.664451316
460	0.6643473799
461	0.6642622462
462	0.6641466381
463	0.6639770193
464	0.6638586378
465	0.6637351792
466	0.6635755905
467	0.6634411363
468	0.6634227718
469	0.6633315648
470	0.6632491624
471	0.6631713288
472	0.6630726954
473	0.6629739457
474	0.6628590213
475	0.6627468666
476	0.6626023868
477	0.6624585801
478	0.6623537878
479	0.662253554
480	0.6621617856
481	0.6620660306
482	0.6620248117
483	0.6619450179
484	0.6618091206
485	0.6616958762
486	0.6616197713
487	0.6615440336
488	0.6614483371
489	0.6613600668
490	0.6612759353
491	0.6612133676
492	0.6610974363
493	0.6609831577
494	0.660870076
495	0.6607344177
496	0.660665269
497	0.6606043946
498	0.6604375317
499	0.6602720838
16673
